canonical_smiles,selfies,logThalf
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,[C][C@@H1][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][N][Branch1][C][Cl][C@@H1][Branch1][C][O][C][C@][Ring2][Ring1][C][Branch1][C][C][C@@][Ring2][Ring1][=Branch1][Branch1][=N][O][C][=Branch1][C][=O][C][=C][C][=C][O][Ring1][Branch1][C][=Branch1][C][=O][C][Cl],0.7634279935629372
Cc1ncc(CO)c(CO)c1O,[C][C][=N][C][=C][Branch1][Ring1][C][O][C][Branch1][Ring1][C][O][=C][Ring1][#Branch2][O],-0.3010299956639812
CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,[C][C][C][=Branch1][C][=O][C][Branch1][O][C][C@@H1][Branch1][C][C][N][Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.4913616938342726
CCCc1cc(=O)[nH]c(=S)[nH]1,[C][C][C][C][=C][C][=Branch1][C][=O][NH1][C][=Branch1][C][=S][NH1][Ring1][Branch2],0.1139433523068367
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,[C][C][=C][C][=N][C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=N][Ring1][P],1.307496037913213
CC(C)NC[C@H](O)c1ccc(O)c(O)c1,[C][C][Branch1][C][C][N][C][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],-0.3872161432802645
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,[C][C][Branch1][C][C][N][C][C@@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],-0.3872161432802645
CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,[C][N][Branch1][C][C][C][C][O][C@@][Branch1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],1.0969100130080565
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,[C][C][N][Branch1][Ring1][C][C][C][C][=C][C][Branch2][Ring1][Ring1][N][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][#Branch1][=C][C][=C][Ring2][Ring1][C][O],1.0934216851622351
CCN(CC)C(=O)N1CCN(C)CC1,[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1],1.0569048513364727
CCN(CC)CC(=O)Nc1c(C)cccc1C,[C][C][N][Branch1][Ring1][C][C][C][C][=Branch1][C][=O][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],0.2430380486862944
CNC[C@H](O)c1ccc(O)c(O)c1,[C][N][C][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],-1.3010299956639813
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,[C][C][=N][O][C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=C][Ring1][S][C],0.7923916894982539
Cn1c(=O)c2c(ncn2C)n(C)c1=O,[C][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][N][=C][N][Ring1][Branch1][C][N][Branch1][C][C][C][Ring1][N][=O],0.6989700043360189
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,[C][N][C][C@H1][Branch2][Ring2][#C][C][=Branch1][C][=O][N][C@][Branch1][C][C][O][C@@][Branch1][C][O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][C][C][Ring2][Ring1][=Branch1][=O][C][=C][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C@H1][Ring1][N][Ring2][Ring2][#Branch2],0.3521825181113625
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C@H1][Ring1][N][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][#Branch2][C@@H1][Branch1][Branch1][C][Ring2][Ring2][=Branch1][N+1][Branch1][C][C][Branch1][C][C][C][C][Ring1][=Branch2],0.7781512503836436
COc1ccc(OC)c([C@H](O)[C@@H](C)N)c1,[C][O][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][#Branch2][C@H1][Branch1][C][O][C@@H1][Branch1][C][C][N][=C][Ring1][=N],0.7888751157754168
O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1,[O][C@@][Branch1][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1],0.568201724066995
Nc1ccc(C(=O)[O-])c(O)c1,[N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][C][O][=C][Ring1][#Branch2],0.5118833609788743
CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1,[C][N][Branch1][C][C][C][C][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],1.380211241711606
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,[C][N][Branch1][C][C][C][C][C@@H1][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],1.380211241711606
O=C([O-])C1=C/C(=N/Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,[O][=C][Branch1][C][O-1][C][=C][/C][=Branch2][Ring1][=N][=N][/N][C][=C][C][=C][Branch1][P][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring1][S][C][=C][C][Ring2][Ring1][Branch2][=O],0.8808135922807914
CCN(CC)CCNC(=O)c1ccc(N)cc1,[C][C][N][Branch1][Ring1][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],0.4913616938342727
CC(=O)Oc1ccccc1C(=O)[O-],[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],-0.6020599913279624
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@H1][C][=Branch1][C][=O][C][C][C@@][Branch1][C][O][C@@H1][Branch1][Ring2][C][Ring1][=N][N][Branch1][C][C][C][C][C@][Ring1][P][Ring1][=C][Ring1][=Branch2],0.6532125137753437
C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O,[C][=C][C][C][Branch1][Branch2][C@H1][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][Ring1][=N][=O],1.4471580313422192
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][C][C][C][C][Ring1][N],0.255272505103306
Cn1cc[nH]c1=S,[C][N][C][=C][NH1][C][Ring1][Branch1][=S],0.7323937598229685
C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,[C][=C][C@H1][C][N@@][C][C][C@H1][Ring1][=Branch1][C][C@@H1][Ring1][=Branch1][C@@H1][Branch1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2],0.8450980400142568
C=CC[C@]1([C@H](C)CCC)C(=O)N=C(S)NC1=O,[C][=C][C][C@][Branch1][Branch2][C@H1][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N][=C][Branch1][C][S][N][C][Ring1][=N][=O],0.9684829485539352
C=CC[C@]1([C@@H](C)CCC)C(=O)N=C(S)NC1=O,[C][=C][C][C@][Branch1][Branch2][C@@H1][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N][=C][Branch1][C][S][N][C][Ring1][=N][=O],1.0791812460476249
Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,[C][N][C][=Branch1][C][=O][C][=C][Branch1][=N][N][=C][N][Ring1][Branch1][C][C@H1][Branch1][C][O][C][O][N][Branch1][C][C][C][Ring1][S][=O],0.3010299956639812
